lat,long,min_temp,max_temp,elevation,isothermality,mean_temp,precip,seasonal_temp,pred_cluster,species,community,new,province,genus
38.22,-3.976,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Capra pyrenaica,Extremadura,"38.22,-3.976",Ja�n,Capra
38.225,-3.975,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Capra pyrenaica,Extremadura,"38.225,-3.975",Ja�n,Capra
38.161,-3.998,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Vulpes vulpes,Extremadura,"38.161,-3.998",Ja�n,Vulpes
38.227,-3.976,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Capra pyrenaica,Extremadura,"38.227,-3.976",Ja�n,Capra
38.222,-3.972,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Lutra lutra,Extremadura,"38.222,-3.972",Ja�n,Lutra
38.219,-3.968,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Capra pyrenaica,Extremadura,"38.219,-3.968",Ja�n,Capra
39.8,-5.9,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Vulpes vulpes,Extremadura,"39.8,-5.9",C�ceres,Vulpes
39.863,-5.925,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Herpestes ichneumon,Extremadura,"39.863,-5.925",C�ceres,Herpestes
39.9,-5.9,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Vulpes vulpes,Extremadura,"39.9,-5.9",C�ceres,Vulpes
39.857,-5.96,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Lutra lutra,Extremadura,"39.857,-5.96",C�ceres,Lutra
39.45,-5.95,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Vulpes vulpes,Extremadura,"39.45,-5.95",C�ceres,Vulpes
39.55,-6.0,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Vulpes vulpes,Extremadura,"39.55,-6.0",C�ceres,Vulpes
39.6,-5.95,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Vulpes vulpes,Extremadura,"39.6,-5.95",C�ceres,Vulpes
39.35,-5.8,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Meles meles,Extremadura,"39.35,-5.8",C�ceres,Meles
39.5,-5.8,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Vulpes vulpes,Extremadura,"39.5,-5.8",C�ceres,Vulpes
39.528,-5.81,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Meles meles,Extremadura,"39.528,-5.81",C�ceres,Meles
40.1,-6.05,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Vulpes vulpes,Extremadura,"40.1,-6.05",C�ceres,Vulpes
40.25,-6.1,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Vulpes vulpes,Extremadura,"40.25,-6.1",C�ceres,Vulpes
42.695,-9.03,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Timon lepidus,Galicia,"42.695,-9.03",Noia,Timon
43.326,-8.513,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Discoglossus galganoi,Galicia,"43.326,-8.513",A Coru�a,Discoglossus
43.3,-8.511,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Lissotriton boscai,Galicia,"43.3,-8.511",A Coru�a,Lissotriton
43.291,-8.493,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Discoglossus galganoi,Galicia,"43.291,-8.493",A Coru�a,Discoglossus
43.289,-8.563,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Lissotriton boscai,Galicia,"43.289,-8.563",A Coru�a,Lissotriton
43.299,-8.551,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Lissotriton boscai,Galicia,"43.299,-8.551",A Coru�a,Lissotriton
43.322,-8.522,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Lissotriton boscai,Galicia,"43.322,-8.522",A Coru�a,Lissotriton
